Table 1
County Name,Flown Over X Times,Lattitude Centroid,Longitude Centroid,
'West Baton Rouge Parish',119,30.4634147938,-91.3127466677,
'Suffolk city',161,36.7018432696,-76.6340460041,
'Clinton County',79,39.6017802193,-94.4045940298,
'Union County',383,40.2993893945,-83.3715754728,
'Madison Parish',48,32.3644009947,-91.2425796995,
'Cedar County',60,42.59926192,-97.252401002,
'DeKalb County',64,39.8931762515,-94.404709492,
'Manassas city',255,38.7478811299,-77.4838087142,
'Crawford County',214,41.6846965026,-80.1062776173,
'Hamblen County',118,36.2171519061,-83.2666627121,
'Panola County',60,32.1623552365,-94.3056398565,
'Wabaunsee County',138,38.9532912889,-96.2050045391,
'Atlantic County',463,39.4688295112,-74.6337304316,
'Manitowoc County',76,44.1106889273,-87.5123716853,
'Stone County',120,35.8598655553,-92.1567129536,
'Churchill County',44,39.580876381,-118.335778874,
'Middlesex County',343,41.4353818043,-72.5231194296,
'Decatur County',97,39.7847564917,-100.459899544,
'Morgan County',157,39.6203734727,-81.8526618984,
'Lyon County',114,38.4561871377,-96.1526397502,
'Lincoln County',250,35.4855950234,-81.2235326264,
'Toombs County',70,32.1217203314,-82.3312929099,
'Warren County',149,40.3469033297,-87.3533144839,
'Gilchrist County',326,29.7258227162,-82.8003665306,
'Emporia city',66,36.6953299477,-77.5356107293,
'Dubois County',144,38.3642764332,-86.8798021177,
'Hughes County',146,35.0483629463,-96.2501879728,
'Pondera County',30,48.2279328059,-112.226687932,
'McDonald County',94,36.628673995,-94.3483586551,
'Kinney County',99,29.3502075785,-100.417946618,
'Lincoln Parish',50,32.6016373737,-92.6648152839,
'Oldham County',225,35.4050346181,-102.602870603,
'Glades County',459,26.9564459351,-81.1890293853,
'Orange County',279,38.2462130511,-78.0136665279,
'Marshall County',281,34.3669621021,-86.306636969,
'Ford County',184,40.597165174,-88.2232738465,
'Greene County',131,38.297620662,-78.4668692674,
'Harrison County',114,40.2938389348,-81.0911358771,
'Karnes County',127,28.9057389627,-97.8594018287,
'Scott County',102,39.6441138538,-90.474747165,
'Warren County',68,43.560975208,-73.8460059552,
'Washburn County',25,45.8991791693,-91.7912346303,
'Calhoun County',74,31.5291972743,-84.6245076946,
'Kleberg County',74,27.4267108244,-97.6683877685,
'Berks County',647,40.4162956557,-75.9259989042,
'Berkshire County',184,42.3706766098,-73.2064122879,
'Cleveland County',275,35.3341018022,-81.5555471412,
'Dallas County',80,41.6848582046,-94.0397619265,
'Warren County',218,36.3965102811,-78.1067171324,
'Wichita County',243,33.9879970441,-98.7035507511,
'Pamlico County',44,35.151021226,-76.6694598427,
'Jessamine County',31,37.872051318,-84.5809372528,
'Giles County',82,35.2021508952,-87.0347773688,
'Sumner County',130,37.2372753377,-97.4765502094,
'White County',89,34.6463905658,-83.747108233,
'LaSalle Parish',116,31.6767316888,-92.1604365033,
'Johnson County',203,41.6715248584,-91.5881018852,
'Florence County',194,34.0244909939,-79.7029792115,
'Anoka County',113,45.2732429118,-93.2464685787,
'Wicomico County',368,38.3694102763,-75.6315310797,
'Weld County',487,40.5548298977,-104.392531357,
'Juniata County',111,40.5310649083,-77.4021626656,
'Mecosta County',47,43.6407681919,-85.3246335487,
'Childress County',163,34.5292014575,-100.207574947,
'Warren County',166,36.9935767676,-86.4237993498,
'Davis County',56,40.7476890807,-92.4097172922,
'Levy County',623,29.2822055783,-82.7886132018,
'Pulaski County',93,37.8246250522,-92.2076625405,
'Blaine County',97,41.9127594294,-99.9768991117,
'Fisher County',59,32.7428202205,-100.402168105,
'Coffee County',48,31.5492717947,-82.8492009827,
'Hardin County',67,42.3838803185,-93.2404024994,
'Edgefield County',171,33.7722424167,-81.9664425704,
'Rockingham County',355,42.9845979293,-71.0890593426,
'San Augustine County',220,31.3942193486,-94.1681932369,
'Kosciusko County',175,41.244097338,-85.8607176828,
'Hardin County',160,30.3323725105,-94.3902216019,
'Seneca County',127,42.781081385,-76.8237785954,
'Pendleton County',194,38.6807283768,-79.350893592,
'Sherman County',95,45.4052565917,-120.689371728,
'Texas County',139,37.31730701,-91.9650546828,
'Pulaski County',267,34.7699753373,-92.3119257562,
'Choctaw County',164,34.0266235144,-95.5521803129,
'Walla Walla County',38,46.2298432372,-118.47840308,
'Kent County',97,33.1814152277,-100.777569383,
